ThumbNr,ch_1_Area,ch_1_Eccentricity,ch_1_Perimeter,ch_1_MeanIntensity,ch_1_MaxIntensity,ch_1_StandardDeviation,ch_1_Mass,ch_1_P2A,ch_2_Area,ch_2_Eccentricity,ch_2_Perimeter,ch_2_MeanIntensity,ch_2_MaxIntensity,ch_2_StandardDeviation,ch_2_Mass,ch_2_P2A,ch_3_Area,ch_3_Eccentricity,ch_3_Perimeter,ch_3_MeanIntensity,ch_3_MaxIntensity,ch_3_StandardDeviation,ch_3_Mass,ch_3_P2A,ch_4_Area,ch_4_Eccentricity,ch_4_Perimeter,ch_4_MeanIntensity,ch_4_MaxIntensity,ch_4_StandardDeviation,ch_4_Mass,ch_4_P2A,Overlay_ch_1_ch_1,Overlay_ch_2_ch_1,Overlay_ch_2_ch_2,Overlay_ch_3_ch_1,Overlay_ch_3_ch_2,Overlay_ch_3_ch_3,Overlay_ch_4_ch_1,Overlay_ch_4_ch_2,Overlay_ch_4_ch_3,Overlay_ch_4_ch_4
53,0,0,0,NaN,NaN,NaN,0,NaN,181,0.637382465740899,46.867,264.397790055249,663,135.389014799659,47856,0.965708092495166,347,0.426564596186067,63.829,463.962536023055,1039,194.273453907043,160995,0.934322359307923,0,0,0,NaN,NaN,NaN,0,NaN,0,0,181,0,165,347,0,0,0,0
54,0,0,0,NaN,NaN,NaN,0,NaN,246,0.727864155343673,55.377,472.772357723577,955,209.013867834341,116302,0.992005038365673,602,0.639789002335999,85.944,1989.32558139535,4045,956.316019817967,1197574,0.976393253991444,459,0.797000920926001,79.906,56.5250544662309,93,14.3218206096721,25945,1.10697097139118,0,0,246,0,246,602,0,246,456,459
55,0,0,0,NaN,NaN,NaN,0,NaN,150,0.738942888674594,42.393,272.353333333333,548,138.521441495225,40853,0.953426413057529,126,0.841396359108929,40.524,99.6507936507936,271,43.5941863023624,12556,1.0371562868615,0,0,0,NaN,NaN,NaN,0,NaN,0,0,150,0,106,126,0,0,0,0
56,0,0,0,NaN,NaN,NaN,0,NaN,57,0.571326237863142,23.876,63.5263157894737,157,32.2236078404582,3621,0.795863194439068,403,0.68035817884291,73.745,2146.95037220844,4040,1514.12665746442,865221,1.07386638941576,40,0.898286353071216,22.354,44.375,64,9.45349616510155,1775,0.994124181386565,0,0,57,0,57,403,0,3,40,40
57,27,0.968758814520647,12.248,25.2962962962963,42,7.41523802623725,683,0.442136864669182,373,0.42094063621131,66.484,181.034852546917,304,60.6501191596328,67526,0.943008453234451,1340,0.471671219835118,133.142,2979.4052238806,3975,1356.35022303628,3992403,1.05272634256092,1015,0.73332019113779,116.891,142.651231527094,410,45.7453992681424,144791,1.07123867040706,27,27,373,27,373,1340,27,367,1012,1015
58,65,0.827885407161809,28.375,14.3846153846154,20,3.6430254755333,935,0.985708541175754,230,0.2477991106864,52.78,62.3652173913043,96,14.5078388296507,14344,0.963831402111906,1215,0.721110052190219,132.654,2604.84032921811,3975,1445.57696222874,3164881,1.15253615531,200,0.855693266107359,53.905,34.53,59,7.73422206526124,6906,1.15616080178301,65,0,230,65,230,1215,56,81,200,200
59,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,23,0.125858163044162,14.026,1397.52173913043,2305,479.743005971589,32143,0.680659592028781,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,23,0,0,0,0
60,0,0,0,NaN,NaN,NaN,0,NaN,213,0.438278470243811,50.167,279.276995305164,644,169.335614299457,59486,0.940257474064744,537,0.463139608483235,79.965,936.184357541899,2624,671.463272837601,502731,0.947579667664451,96,0.577634229391353,33.337,29.0520833333333,48,6.52827016931046,2789,0.921238189265917,0,0,213,0,188,537,0,1,96,96
61,0,0,0,NaN,NaN,NaN,0,NaN,238,0.530175330623219,52.615,315.735294117647,644,165.939981060834,75145,0.925619144241583,482,0.664309393491887,76.516,1351.13070539419,4041,1179.65591442407,651245,0.966601833769605,63,0.467664715422984,25.472,19.6507936507937,31,4.20122382384271,1238,0.819550422732104,0,0,238,0,223,482,0,59,63,63
62,0,0,0,NaN,NaN,NaN,0,NaN,324,0.469056117278473,63.25,158.506172839506,289,60.7782598122294,51356,0.982576075652887,1056,0.594485533083323,115.336,3084.59185606061,4007,1236.41544693976,3257329,1.00243446228642,704,0.644493911211089,94.768,51.0809659090909,95,10.7752406344354,35961,1.01517498428162,0,0,324,0,324,1056,0,289,704,704
